Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
qm9_gap,ensemble,none,none,none,7,100,0.7511,0.38087,0.4989,0.4989,0.86939,0.88099
qm9_zpve,penultimate,none,none,none,3,100,0.79904,0.34775,0.44829,0.44829,0.89792,0.89079
qm9_g298,penultimate,none,none,none,0,100,0.51887,0.49825,0.69363,0.69363,0.72662,0.74984
freesolv,hallucinate,none,none,none,6,100,0.84353,0.28287,0.39556,0.39556,0.91893,0.89723
polymer_mt,hallucinate,none,none,none,3,100,0.43212,0.58481,0.75358,0.75358,0.65807,0.62621
qm9_h298,ensemble,none,none,none,1,100,0.57199,0.4946,0.65423,0.65423,0.76132,0.75204
qm9_alpha,penultimate,none,none,none,7,100,0.45472,0.53914,0.73843,0.73843,0.67437,0.68496
qm9_homo,ensemble,none,none,none,4,100,0.4355,0.57457,0.75133,0.75133,0.6679,0.59536
qm9_h298,ensemble,none,none,none,9,100,0.55046,0.49923,0.67047,0.67047,0.74326,0.72472
qm9_gap,ensemble,none,none,none,8,100,0.72826,0.39792,0.52129,0.52129,0.85981,0.87303
qm9_r2,penultimate,none,none,none,6,100,0.62447,0.45172,0.6128,0.6128,0.79215,0.75682
bace,hallucinate,none,none,none,7,100,0.55142,0.51099,0.66976,0.66976,0.75826,0.71139
polymer_o2,hallucinate,none,none,none,8,100,0.73503,0.24005,0.51475,0.51475,0.86006,0.25768
qm9_gap,embedding,none,none,none,0,100,0.72756,0.40325,0.52196,0.52196,0.85576,0.86458
qm9_g298,random,none,none,none,3,100,0.5507,0.48031,0.6703,0.6703,0.74273,0.75398
qm9_cv,embedding,none,none,none,5,100,0.59829,0.4713,0.6338,0.6338,0.77773,0.79576
qm9_gap,ensemble,none,none,none,5,100,0.7358,0.3936,0.514,0.514,0.85913,0.87119
qm9_gap,ensemble,none,none,none,4,100,0.67236,0.44294,0.57239,0.57239,0.82428,0.82985
pcqm4mv2_small,ensemble,none,none,none,8,100,0.57159,0.48977,0.65453,0.65453,0.76433,0.75091
qm9_gap,penultimate,none,none,none,3,100,0.74613,0.38433,0.50386,0.50386,0.8645,0.87103
freesolv,hallucinate,none,none,none,2,100,0.86116,0.26181,0.37261,0.37261,0.93205,0.91617
sublimation,hallucinate,none,none,none,8,100,0.65682,0.39044,0.58582,0.58582,0.82289,0.82207
qm9_gap,penultimate,none,none,none,6,100,0.70427,0.41362,0.54381,0.54381,0.84001,0.84622
polymer_mt,hallucinate,none,none,none,6,100,0.45376,0.56585,0.73908,0.73908,0.6807,0.66441
qm9_homo,penultimate,none,none,none,7,100,0.47916,0.53232,0.7217,0.7217,0.69611,0.68372
qm9_g298,embedding,none,none,none,4,100,0.5906,0.48634,0.63985,0.63985,0.78228,0.78008
polymer_mt,hallucinate,none,none,none,1,100,0.4403,0.5867,0.74813,0.74813,0.67789,0.66972
polymer_mt,hallucinate,none,none,none,2,100,0.36627,0.60985,0.79607,0.79607,0.63107,0.61679
qm9_u0,embedding,none,none,none,0,100,0.50375,0.52255,0.70445,0.70445,0.73019,0.75075
polymer_o2,hallucinate,none,none,none,4,100,0.76038,0.31313,0.48951,0.48951,0.89225,0.09225
polygas_CO2,hallucinate,none,none,none,1,100,0.76303,0.29774,0.4868,0.4868,0.87835,0.89411
qm9_r2,embedding,none,none,none,5,100,0.57555,0.4924,0.6515,0.6515,0.76646,0.67844
