Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
polymer_o2,top,none,none,none,1,100,-0.05383,0.22868,1.02656,1.02656,-0.12024,0.04826
polygas_H2,top,none,none,none,9,100,0.34011,0.59911,0.81234,0.81234,0.59373,0.61146
polymer_mt,top,none,none,none,2,100,0.26461,0.67732,0.85755,0.85755,0.58381,0.55513
polymer_mt,top,none,none,none,4,100,0.24338,0.70296,0.86984,0.86984,0.54939,0.52666
polygas_N2,top,none,none,none,5,100,0.37591,0.57074,0.78999,0.78999,0.6297,0.594
polygas_CO2,top,none,none,none,9,100,0.40746,0.5608,0.76977,0.76977,0.64149,0.64418
lipo,top,none,none,none,4,100,0.01997,0.77438,0.98996,0.98996,0.35119,0.34056
polymer_o2,top,none,none,none,5,100,-0.00801,0.27515,1.004,1.004,0.08527,0.20158
polygas_O2,top,none,none,none,1,100,-0.27818,0.85406,1.13057,1.13057,0.21378,0.24002
polygas_O2,top,none,none,none,3,100,-0.0626,0.7382,1.03082,1.03082,0.38929,0.41292
polygas_He,top,none,none,none,9,100,0.33018,0.57198,0.81843,0.81843,0.6037,0.6606
polygas_H2,top,none,none,none,7,100,0.00896,0.72118,0.99551,0.99551,0.48592,0.4744
polygas_N2,top,none,none,none,7,100,-0.39026,0.83463,1.17909,1.17909,0.39226,0.40439
polygas_N2,top,none,none,none,2,100,0.26055,0.63722,0.85991,0.85991,0.53271,0.52176
polygas_CO2,top,none,none,none,8,100,0.26754,0.64975,0.85584,0.85584,0.53756,0.57462
polygas_N2,top,none,none,none,3,100,0.24918,0.61068,0.8665,0.8665,0.564,0.57135
polygas_CO2,top,none,none,none,0,100,0.54382,0.48084,0.67541,0.67541,0.74388,0.76194
polygas_CO2,top,none,none,none,1,100,-0.288,0.8432,1.1349,1.1349,0.27691,0.30711
polygas_O2,top,none,none,none,0,100,0.55677,0.49291,0.66576,0.66576,0.75221,0.77656
polygas_CO2,top,none,none,none,2,100,0.49914,0.51882,0.70771,0.70771,0.71765,0.75055
polygas_CH4,top,none,none,none,0,100,0.4107,0.54627,0.76766,0.76766,0.74415,0.75265
polygas_He,top,none,none,none,5,100,0.31804,0.63175,0.82581,0.82581,0.58541,0.59156
polygas_He,top,none,none,none,8,100,0.26932,0.63459,0.8548,0.8548,0.55533,0.60916
polygas_O2,top,none,none,none,6,100,0.44866,0.56919,0.74252,0.74252,0.695,0.70887
polygas_H2,top,none,none,none,3,100,0.30279,0.63139,0.83499,0.83499,0.5606,0.57573
polygas_H2,top,none,none,none,8,100,0.27653,0.63129,0.85057,0.85057,0.54052,0.60457
polygas_CH4,top,none,none,none,2,100,0.4628,0.53365,0.73294,0.73294,0.69149,0.66765
polygas_H2,top,none,none,none,4,100,0.03378,0.71689,0.98297,0.98297,0.43645,0.45807
polygas_H2,top,none,none,none,0,100,0.33781,0.57205,0.81375,0.81375,0.62755,0.64974
polygas_CO2,top,none,none,none,3,100,0.22856,0.60733,0.87831,0.87831,0.56024,0.62242
polygas_O2,top,none,none,none,4,100,0.17318,0.65446,0.9093,0.9093,0.54366,0.53718
polygas_CH4,top,none,none,none,3,100,0.18761,0.66303,0.90132,0.90132,0.50122,0.49934
polygas_N2,top,none,none,none,0,100,0.58592,0.4552,0.64349,0.64349,0.77147,0.78578
polygas_CH4,top,none,none,none,4,100,-0.04575,0.72278,1.02262,1.02262,0.44543,0.47315
polygas_H2,top,none,none,none,1,100,-0.05808,0.75833,1.02863,1.02863,0.44087,0.48083
polygas_CO2,top,none,none,none,5,100,0.31296,0.60083,0.82888,0.82888,0.58532,0.58656
polygas_N2,top,none,none,none,6,100,0.50937,0.52827,0.70045,0.70045,0.72558,0.72959
polygas_N2,top,none,none,none,1,100,-0.18461,0.78275,1.0884,1.0884,0.32271,0.35488
polygas_CO2,top,none,none,none,6,100,0.40182,0.58347,0.77342,0.77342,0.66619,0.67694
sublimation,top,none,none,none,9,100,0.47198,0.5426,0.72665,0.72665,0.71989,0.72912
polygas_CH4,top,none,none,none,6,100,0.57584,0.48398,0.65128,0.65128,0.77061,0.76754
polygas_He,top,none,none,none,4,100,0.18663,0.65002,0.90187,0.90187,0.57189,0.57098
freesolv,top,none,none,none,3,100,0.28986,0.64481,0.8427,0.8427,0.58882,0.54817
polymer_density,top,none,none,none,9,100,-1.57994,1.07656,1.60622,1.60622,0.35642,0.41196
sublimation,top,none,none,none,8,100,0.29867,0.6426,0.83745,0.83745,0.56611,0.53779
polymer_o2,top,none,none,none,0,100,0.00084,0.26497,0.99958,0.99958,0.11602,0.13506
polymer_density,top,none,none,none,3,100,-3.50783,1.28233,2.12317,2.12317,0.19108,0.22467
polymer_tg,top,none,none,none,2,100,0.29476,0.66746,0.83979,0.83979,0.55035,0.55673
polymer_tg,top,none,none,none,0,100,0.38119,0.62637,0.78664,0.78664,0.71656,0.76419
polymer_tg,top,none,none,none,3,100,0.33496,0.56623,0.8155,0.8155,0.75377,0.81036
polymer_tg,top,none,none,none,1,100,0.40855,0.59114,0.76906,0.76906,0.74092,0.7678
polymer_tg,top,none,none,none,9,100,0.48024,0.545,0.72094,0.72094,0.73318,0.77338
polymer_tg,top,none,none,none,4,100,0.51522,0.5479,0.69626,0.69626,0.74314,0.75043
chain_gap,top,none,none,none,9,100,-0.80143,0.98901,1.34217,1.34217,0.19675,0.19722
polymer_o2,top,none,none,none,9,100,-0.0318,0.25653,1.01578,1.01578,0.01551,-0.08774
polymer_tg,top,none,none,none,6,100,0.51394,0.54165,0.69718,0.69718,0.74594,0.77016
bace,top,none,none,none,0,100,-0.34899,0.9054,1.16146,1.16146,0.45687,0.41729
polymer_tg,top,none,none,none,7,100,0.55809,0.5179,0.66476,0.66476,0.77357,0.80875
polygas_O2,top,none,none,none,9,100,0.38294,0.56066,0.78553,0.78553,0.62335,0.64531
polymer_density,top,none,none,none,0,100,-0.76471,0.88352,1.32842,1.32842,0.511,0.49218
polygas_N2,top,none,none,none,4,100,0.12693,0.67694,0.93438,0.93438,0.5497,0.52526
polymer_o2,top,none,none,none,8,100,-0.02775,0.22641,1.01378,1.01378,0.05254,0.05707
polymer_mt,top,none,none,none,1,100,0.08082,0.76637,0.95874,0.95874,0.31979,0.29493
esol,top,none,none,none,5,100,0.31015,0.64456,0.83057,0.83057,0.56758,0.4733
bace,top,none,none,none,9,100,-0.4345,0.94203,1.1977,1.1977,0.42489,0.38865
polygas_H2,top,none,none,none,2,100,0.41798,0.5616,0.7629,0.7629,0.66999,0.6761
esol,top,none,none,none,1,100,0.32466,0.64298,0.82179,0.82179,0.57384,0.5394
chain_gap,top,none,none,none,4,100,-0.49187,0.90779,1.22142,1.22142,0.16136,0.18519
lipo,top,none,none,none,1,100,-0.27665,0.87324,1.12989,1.12989,0.15447,0.15766
polygas_CH4,top,none,none,none,8,100,0.23891,0.63984,0.8724,0.8724,0.55153,0.58333
polymer_mt,top,none,none,none,7,100,0.2263,0.69911,0.8796,0.8796,0.51309,0.51631
polygas_H2,top,none,none,none,5,100,0.26268,0.62949,0.85867,0.85867,0.53262,0.51391
bace,top,none,none,none,5,100,-0.15379,0.86952,1.07414,1.07414,0.48228,0.4381
bace,top,none,none,none,2,100,-1.36152,1.21628,1.53672,1.53672,0.35964,0.3452
polymer_o2,top,none,none,none,3,100,-0.04079,0.23374,1.02019,1.02019,-0.00502,-0.0769
bace,top,none,none,none,4,100,-1.17189,1.2413,1.47373,1.47373,0.35522,0.29012
polymer_mt,top,none,none,none,0,100,0.26831,0.67367,0.85539,0.85539,0.5771,0.5813
polymer_o2,top,none,none,none,2,100,-0.0121,0.29468,1.00603,1.00603,0.07895,0.36533
logp,top,none,none,none,1,100,-0.03283,0.79713,1.01628,1.01628,0.35089,0.27838
logp,top,none,none,none,9,100,0.02708,0.75964,0.98637,0.98637,0.41566,0.36274
polygas_CH4,top,none,none,none,5,100,0.25594,0.61171,0.86259,0.86259,0.54686,0.52643
logp,top,none,none,none,4,100,-0.46275,0.93854,1.20944,1.20944,0.29204,0.2335
polygas_CH4,top,none,none,none,9,100,0.45366,0.53602,0.73915,0.73915,0.67493,0.68714
logp,top,none,none,none,3,100,-0.18454,0.83913,1.08837,1.08837,0.31778,0.28448
polygas_N2,top,none,none,none,9,100,0.25371,0.61565,0.86388,0.86388,0.56814,0.61551
logp,top,none,none,none,8,100,0.31932,0.61362,0.82503,0.82503,0.6038,0.60358
polygas_CH4,top,none,none,none,1,100,-0.27197,0.81931,1.12782,1.12782,0.23431,0.2646
polygas_He,top,none,none,none,6,100,0.40634,0.56463,0.77049,0.77049,0.64238,0.66247
polymer_mt,top,none,none,none,3,100,-0.23833,0.83461,1.1128,1.1128,0.53502,0.5038
polygas_He,top,none,none,none,1,100,-0.05391,0.75623,1.0266,1.0266,0.36148,0.40809
logp,top,none,none,none,5,100,-0.59907,0.94825,1.26454,1.26454,0.28894,0.26513
polygas_He,top,none,none,none,7,100,-0.49013,0.86724,1.22071,1.22071,0.36385,0.36658
polygas_O2,top,none,none,none,5,100,0.11219,0.6875,0.94223,0.94223,0.43619,0.4038
polygas_CO2,top,none,none,none,4,100,0.23098,0.62445,0.87694,0.87694,0.60497,0.5871
polygas_H2,top,none,none,none,6,100,0.30842,0.61798,0.83161,0.83161,0.58378,0.61594
polygas_O2,top,none,none,none,2,100,0.51303,0.50968,0.69783,0.69783,0.72892,0.73289
polygas_He,top,none,none,none,0,100,0.5121,0.50187,0.6985,0.6985,0.7433,0.76941
logp,top,none,none,none,0,100,-0.22985,0.87,1.10899,1.10899,0.2012,0.12124
logp,top,none,none,none,6,100,-0.96855,0.98492,1.40305,1.40305,0.24355,0.26914
lipo,top,none,none,none,3,100,-0.24719,0.8579,1.11678,1.11678,0.13476,0.12504
polymer_tg,top,none,none,none,5,100,0.54898,0.49397,0.67158,0.67158,0.75787,0.79967
polymer_tg,top,none,none,none,8,100,0.33789,0.64156,0.8137,0.8137,0.69365,0.72968
polymer_mt,top,none,none,none,8,100,0.27971,0.67689,0.8487,0.8487,0.58962,0.5753
sublimation,top,none,none,none,3,100,0.40627,0.56672,0.77054,0.77054,0.64623,0.64996
chain_gap,top,none,none,none,7,100,-0.2074,0.80642,1.09882,1.09882,0.44622,0.44131
polymer_density,top,none,none,none,2,100,-2.38322,1.10979,1.83935,1.83935,0.34284,0.35704
polymer_mt,top,none,none,none,6,100,0.17173,0.70872,0.91009,0.91009,0.62578,0.63968
lipo,top,none,none,none,6,100,-0.11278,0.8251,1.05488,1.05488,0.16817,0.14305
polymer_mt,top,none,none,none,5,100,-0.20554,0.83579,1.09797,1.09797,0.1616,0.19496
logp,top,none,none,none,7,100,0.13687,0.70151,0.92905,0.92905,0.4152,0.39218
logp,top,none,none,none,2,100,-0.00383,0.75143,1.00192,1.00192,0.32829,0.31203
pcqm4mv2_small,top,none,none,none,0,100,0.21959,0.63713,0.88341,0.88341,0.62775,0.63884
pcqm4mv2_small,top,none,none,none,6,100,0.03876,0.73897,0.98043,0.98043,0.55692,0.53731
pcqm4mv2_small,top,none,none,none,5,100,0.00697,0.73452,0.99651,0.99651,0.613,0.63759
pcqm4mv2_small,top,none,none,none,4,100,-0.19683,0.8011,1.094,1.094,0.54755,0.55195
pcqm4mv2_small,top,none,none,none,1,100,-0.11594,0.78541,1.05638,1.05638,0.68893,0.67406
pcqm4mv2_small,top,none,none,none,2,100,-0.30216,0.85139,1.14112,1.14112,0.53501,0.54867
pcqm4mv2_small,top,none,none,none,3,100,-0.1039,0.78097,1.05067,1.05067,0.57506,0.60799
pcqm4mv2_small,top,none,none,none,9,100,-0.41059,0.92563,1.18768,1.18768,0.47678,0.47613
pcqm4mv2_small,top,none,none,none,8,100,-1.16416,1.15711,1.47111,1.47111,0.57546,0.56166
pcqm4mv2_small,top,none,none,none,7,100,0.23774,0.64635,0.87308,0.87308,0.64259,0.64384
qm9_alpha,top,none,none,none,5,100,-0.32396,0.89811,1.15063,1.15063,0.06495,0.08578
qm9_g298,top,none,none,none,1,100,0.15199,0.68523,0.92087,0.92087,0.40142,0.40908
qm9_alpha,top,none,none,none,9,100,0.21914,0.63648,0.88366,0.88366,0.60634,0.67216
qm9_u0,top,none,none,none,8,100,0.1782,0.6835,0.90653,0.90653,0.45485,0.44263
qm9_alpha,top,none,none,none,0,100,0.30402,0.61658,0.83425,0.83425,0.57195,0.6021
qm9_u0,top,none,none,none,7,100,0.26291,0.64552,0.85854,0.85854,0.5336,0.56087
qm9_alpha,top,none,none,none,7,100,-0.56418,0.9784,1.25067,1.25067,0.07069,0.07856
qm9_homo,top,none,none,none,7,100,0.05888,0.71972,0.97011,0.97011,0.35395,0.36807
qm9_g298,top,none,none,none,2,100,0.3223,0.62521,0.82322,0.82322,0.57997,0.52993
qm9_g298,top,none,none,none,0,100,0.31028,0.59482,0.83049,0.83049,0.55954,0.58904
qm9_g298,top,none,none,none,3,100,0.34556,0.55859,0.80897,0.80897,0.63594,0.67718
qm9_g298,top,none,none,none,8,100,0.18972,0.67349,0.90016,0.90016,0.47978,0.49618
qm9_g298,top,none,none,none,5,100,0.04176,0.74833,0.9789,0.9789,0.36519,0.34841
qm9_u0,top,none,none,none,0,100,0.25645,0.63898,0.86229,0.86229,0.52266,0.53706
qm9_u0,top,none,none,none,5,100,0.27031,0.63042,0.85422,0.85422,0.52004,0.54243
qm9_alpha,top,none,none,none,4,100,-0.56153,0.94032,1.24961,1.24961,0.28107,0.32393
qm9_homo,top,none,none,none,6,100,0.08145,0.70874,0.95841,0.95841,0.41765,0.3779
qm9_u0,top,none,none,none,4,100,-0.54322,0.94137,1.24226,1.24226,0.26832,0.3178
qm9_homo,top,none,none,none,4,100,-0.19609,0.81954,1.09366,1.09366,0.12344,0.09592
qm9_homo,top,none,none,none,0,100,0.12953,0.68521,0.93299,0.93299,0.36662,0.39459
qm9_homo,top,none,none,none,8,100,-0.04779,0.77122,1.02361,1.02361,0.17215,0.14268
qm9_g298,top,none,none,none,6,100,-0.14482,0.8126,1.06996,1.06996,0.33919,0.33399
qm9_alpha,top,none,none,none,8,100,0.2271,0.65771,0.87915,0.87915,0.48656,0.49559
qm9_homo,top,none,none,none,1,100,0.08013,0.72999,0.9591,0.9591,0.37273,0.32784
qm9_cv,top,none,none,none,6,100,0.07914,0.75174,0.95961,0.95961,0.66911,0.66516
qm9_r2,top,none,none,none,2,100,-0.1843,0.84429,1.08825,1.08825,0.4549,0.46483
qm9_u298,top,none,none,none,2,100,0.10399,0.72265,0.94658,0.94658,0.45809,0.42098
qm9_cv,top,none,none,none,0,100,0.08287,0.73485,0.95767,0.95767,0.42626,0.4278
qm9_r2,top,none,none,none,5,100,0.12753,0.67358,0.93406,0.93406,0.46897,0.44968
qm9_zpve,top,none,none,none,3,100,0.6023,0.49658,0.63064,0.63064,0.78651,0.77022
qm9_r2,top,none,none,none,7,100,-0.41897,0.84236,1.19121,1.19121,0.13483,0.15499
qm9_lumo,top,none,none,none,4,100,0.10787,0.73281,0.94453,0.94453,0.49366,0.51439
qm9_u298,top,none,none,none,8,100,0.27691,0.63225,0.85034,0.85034,0.52692,0.51123
qm9_cv,top,none,none,none,3,100,0.16959,0.70547,0.91127,0.91127,0.49696,0.4846
qm9_r2,top,none,none,none,6,100,0.33297,0.60104,0.81672,0.81672,0.62096,0.613
qm9_cv,top,none,none,none,7,100,0.07273,0.75923,0.96295,0.96295,0.53517,0.51881
qm9_u0,top,none,none,none,3,100,0.29177,0.60304,0.84156,0.84156,0.63703,0.6734
qm9_cv,top,none,none,none,8,100,0.31356,0.66415,0.82852,0.82852,0.67084,0.67772
qm9_r2,top,none,none,none,0,100,-0.29207,0.83948,1.13669,1.13669,0.23619,0.21178
qm9_zpve,top,none,none,none,2,100,0.5999,0.48903,0.63254,0.63254,0.82665,0.81142
qm9_h298,top,none,none,none,9,100,0.27644,0.6167,0.85063,0.85063,0.5299,0.59499
qm9_h298,top,none,none,none,5,100,0.2215,0.66466,0.88232,0.88232,0.47114,0.48077
qm9_cv,top,none,none,none,1,100,0.34516,0.64644,0.80922,0.80922,0.70333,0.72526
qm9_lumo,top,none,none,none,8,100,0.06341,0.78663,0.96778,0.96778,0.47873,0.47264
qm9_lumo,top,none,none,none,3,100,0.31951,0.65125,0.82492,0.82492,0.61637,0.61404
qm9_mu,top,none,none,none,7,100,0.07766,0.72452,0.96039,0.96039,0.37116,0.3658
qm9_cv,top,none,none,none,2,100,0.3126,0.67167,0.8291,0.8291,0.6551,0.64721
qm9_r2,top,none,none,none,1,100,0.29406,0.61618,0.8402,0.8402,0.6053,0.52461
qm9_cv,top,none,none,none,4,100,-0.47813,0.91134,1.21578,1.21578,0.39721,0.40462
qm9_zpve,top,none,none,none,5,100,0.31443,0.64546,0.82799,0.82799,0.70196,0.69293
qm9_zpve,top,none,none,none,9,100,0.66663,0.43822,0.57738,0.57738,0.83657,0.86489
qm9_cv,top,none,none,none,9,100,0.40328,0.60771,0.77248,0.77248,0.72334,0.72484
qm9_gap,top,none,none,none,1,100,0.30402,0.65549,0.83426,0.83426,0.66446,0.6643
qm9_u298,top,none,none,none,1,100,0.17487,0.67759,0.90837,0.90837,0.41886,0.41709
qm9_h298,top,none,none,none,3,100,0.41621,0.5481,0.76406,0.76406,0.65949,0.71905
qm9_gap,top,none,none,none,2,100,0.50788,0.54393,0.70151,0.70151,0.75888,0.76672
qm9_gap,top,none,none,none,4,100,0.31243,0.6767,0.8292,0.8292,0.56322,0.54512
qm9_gap,top,none,none,none,8,100,-0.01008,0.8242,1.00503,1.00503,0.52597,0.52651
qm9_h298,top,none,none,none,2,100,0.15465,0.69356,0.91943,0.91943,0.48461,0.44237
qm9_mu,top,none,none,none,3,100,-0.08541,0.77132,1.04183,1.04183,0.3547,0.37858
qm9_gap,top,none,none,none,9,100,0.31864,0.65759,0.82545,0.82545,0.56878,0.57068
qm9_h298,top,none,none,none,1,100,0.03502,0.75738,0.98233,0.98233,0.2984,0.29012
qm9_lumo,top,none,none,none,9,100,0.46141,0.59942,0.73388,0.73388,0.68773,0.68514
qm9_zpve,top,none,none,none,7,100,0.5331,0.54049,0.6833,0.6833,0.80186,0.80498
qm9_zpve,top,none,none,none,6,100,0.62339,0.4873,0.61368,0.61368,0.80551,0.79158
qm9_mu,top,none,none,none,2,100,0.08102,0.69774,0.95864,0.95864,0.37145,0.41294
qm9_u0,top,none,none,none,2,100,-0.04344,0.74578,1.02149,1.02149,0.48205,0.473
qm9_mu,top,none,none,none,0,100,-0.56364,0.94611,1.25046,1.25046,0.34454,0.35454
qm9_mu,top,none,none,none,8,100,-0.37715,0.91802,1.17352,1.17352,0.20983,0.19973
qm9_zpve,top,none,none,none,8,100,0.44618,0.58519,0.74419,0.74419,0.74319,0.75913
qm9_mu,top,none,none,none,1,100,-0.12955,0.78316,1.0628,1.0628,0.3355,0.39147
qm9_r2,top,none,none,none,3,100,0.08254,0.71256,0.95784,0.95784,0.42441,0.45048
qm9_mu,top,none,none,none,6,100,0.01982,0.7216,0.99004,0.99004,0.34647,0.37326
qm9_mu,top,none,none,none,5,100,-0.25617,0.83576,1.12079,1.12079,0.10415,0.11081
qm9_zpve,top,none,none,none,1,100,0.52064,0.55058,0.69236,0.69236,0.74613,0.74693
qm9_mu,top,none,none,none,4,100,-0.13424,0.7951,1.06501,1.06501,0.05187,0.10543
qm9_gap,top,none,none,none,7,100,0.43318,0.5983,0.75288,0.75288,0.6933,0.69498
qm9_h298,top,none,none,none,8,100,0.32492,0.60051,0.82163,0.82163,0.57323,0.57284
qm9_u298,top,none,none,none,4,100,-0.54793,0.95006,1.24416,1.24416,0.14935,0.18613
qm9_zpve,top,none,none,none,0,100,0.58038,0.51265,0.64778,0.64778,0.76558,0.75755
qm9_h298,top,none,none,none,0,100,0.1431,0.71819,0.92569,0.92569,0.46169,0.47014
qm9_alpha,top,none,none,none,3,100,0.02737,0.73803,0.98622,0.98622,0.30697,0.31506
qm9_g298,top,none,none,none,9,100,0.13418,0.69385,0.93049,0.93049,0.41045,0.45645
qm9_zpve,top,none,none,none,4,100,0.12008,0.73553,0.93804,0.93804,0.54233,0.52812
qm9_homo,top,none,none,none,3,100,0.10469,0.71985,0.94621,0.94621,0.4314,0.41428
qm9_alpha,top,none,none,none,2,100,0.15949,0.69799,0.9168,0.9168,0.43877,0.46583
qm9_u0,top,none,none,none,9,100,0.21654,0.64921,0.88513,0.88513,0.47385,0.52
qm9_u0,top,none,none,none,1,100,0.21065,0.66882,0.88846,0.88846,0.47044,0.47143
qm9_g298,top,none,none,none,7,100,0.16793,0.67909,0.91218,0.91218,0.47888,0.50115
qm9_g298,top,none,none,none,4,100,-0.88795,0.99591,1.37403,1.37403,0.23072,0.31261
qm9_alpha,top,none,none,none,6,100,-0.11819,0.82782,1.05745,1.05745,0.45305,0.48528
qm9_homo,top,none,none,none,2,100,-0.46173,0.86167,1.20902,1.20902,-0.1214,-0.03203
qm9_alpha,top,none,none,none,1,100,0.33235,0.6048,0.8171,0.8171,0.57813,0.60301
qm9_u0,top,none,none,none,6,100,-0.07618,0.79548,1.03739,1.03739,0.35345,0.34993
qm9_homo,top,none,none,none,9,100,-0.50338,0.84968,1.22612,1.22612,0.23669,0.26675
qm9_h298,top,none,none,none,6,100,-0.07402,0.79626,1.03635,1.03635,0.37286,0.39105
qm9_mu,top,none,none,none,9,100,-0.10731,0.79962,1.05229,1.05229,0.14514,0.15387
qm9_r2,top,none,none,none,8,100,0.26626,0.62114,0.85659,0.85659,0.60333,0.60969
qm9_u298,top,none,none,none,9,100,0.18315,0.65972,0.9038,0.9038,0.44883,0.49572
qm9_gap,top,none,none,none,6,100,-0.03198,0.79427,1.01586,1.01586,0.43781,0.43997
qm9_lumo,top,none,none,none,6,100,0.19103,0.73411,0.89943,0.89943,0.57953,0.56762
qm9_gap,top,none,none,none,3,100,0.07025,0.7573,0.96424,0.96424,0.61034,0.61564
qm9_u298,top,none,none,none,0,100,0.22213,0.67462,0.88197,0.88197,0.50119,0.4926
qm9_lumo,top,none,none,none,0,100,0.4391,0.58538,0.74894,0.74894,0.7053,0.69733
qm9_u298,top,none,none,none,5,100,0.14838,0.70998,0.92283,0.92283,0.46349,0.46788
qm9_gap,top,none,none,none,5,100,0.57431,0.52016,0.65245,0.65245,0.75893,0.77496
qm9_cv,top,none,none,none,5,100,0.36556,0.6296,0.79652,0.79652,0.68884,0.69716
qm9_lumo,top,none,none,none,5,100,0.43173,0.60244,0.75384,0.75384,0.73927,0.73741
qm9_r2,top,none,none,none,4,100,-0.68168,0.91955,1.2968,1.2968,0.16289,0.14841
qm9_lumo,top,none,none,none,1,100,0.35188,0.62958,0.80506,0.80506,0.69039,0.69722
qm9_lumo,top,none,none,none,7,100,0.28157,0.67309,0.84761,0.84761,0.61645,0.61725
qm9_u298,top,none,none,none,3,100,0.41621,0.5481,0.76406,0.76406,0.65949,0.71905
qm9_gap,top,none,none,none,0,100,0.46572,0.56954,0.73094,0.73094,0.70561,0.71401
qm9_r2,top,none,none,none,9,100,0.24778,0.66576,0.86731,0.86731,0.58805,0.52109
qm9_lumo,top,none,none,none,2,100,0.27396,0.67828,0.85208,0.85208,0.62037,0.62473
qm9_h298,top,none,none,none,4,100,-0.3705,0.86318,1.17068,1.17068,0.25107,0.31786
qm9_u298,top,none,none,none,7,100,0.15589,0.71495,0.91875,0.91875,0.5665,0.5949
qm9_homo,top,none,none,none,5,100,-0.06468,0.76632,1.03183,1.03183,0.19591,0.22954
qm9_u298,top,none,none,none,6,100,-0.07058,0.79804,1.03469,1.03469,0.3896,0.39228
qm9_h298,top,none,none,none,7,100,0.15589,0.71495,0.91875,0.91875,0.5665,0.5949
freesolv,pareto,none,none,none,5,100,0.74681,0.36716,0.50318,0.50318,0.87882,0.83715
freesolv,pareto,none,none,none,8,100,0.81149,0.30507,0.43418,0.43418,0.90783,0.87463
freesolv,pareto,none,none,none,0,100,0.74388,0.37585,0.50608,0.50608,0.86335,0.7971
sublimation,pareto,none,none,none,9,100,0.68917,0.40462,0.55752,0.55752,0.84213,0.83257
esol,pareto,none,none,none,2,100,0.78362,0.34216,0.46516,0.46516,0.88532,0.87116
esol,pareto,none,none,none,3,100,0.75812,0.36781,0.49181,0.49181,0.87225,0.84378
esol,pareto,none,none,none,1,100,0.75545,0.38033,0.49452,0.49452,0.87455,0.8551
sublimation,pareto,none,none,none,3,100,0.67806,0.399,0.5674,0.5674,0.83024,0.81544
esol,pareto,none,none,none,6,100,0.75365,0.37215,0.49633,0.49633,0.86847,0.83979
sublimation,pareto,none,none,none,5,100,0.65894,0.4069,0.584,0.584,0.84576,0.83823
esol,pareto,none,none,none,8,100,0.72218,0.40584,0.52709,0.52709,0.85539,0.82613
polygas_CH4,pareto,none,none,none,7,100,0.75729,0.33393,0.49266,0.49266,0.87462,0.88197
polygas_O2,pareto,none,none,none,7,100,0.71829,0.33194,0.53076,0.53076,0.84816,0.85918
polygas_He,pareto,none,none,none,1,100,0.61745,0.40155,0.61851,0.61851,0.79404,0.81308
polygas_N2,pareto,none,none,none,7,100,0.6162,0.38904,0.61951,0.61951,0.78743,0.76565
chain_gap,pareto,none,none,none,0,100,0.62106,0.43256,0.61558,0.61558,0.78954,0.80848
polygas_H2,pareto,none,none,none,5,100,0.64615,0.34347,0.59485,0.59485,0.82301,0.82429
chain_gap,pareto,none,none,none,5,100,0.66809,0.39793,0.57612,0.57612,0.82354,0.85242
polygas_N2,pareto,none,none,none,2,100,0.69194,0.35519,0.55503,0.55503,0.83232,0.84478
chain_gap,pareto,none,none,none,1,100,0.68886,0.41142,0.5578,0.5578,0.83338,0.8476
polymer_density,pareto,none,none,none,7,100,0.28991,0.58493,0.84267,0.84267,0.54592,0.50393
polygas_He,pareto,none,none,none,9,100,0.68901,0.35058,0.55766,0.55766,0.83308,0.85494
polygas_CO2,pareto,none,none,none,2,100,0.48815,0.4661,0.71544,0.71544,0.70909,0.71604
polygas_He,pareto,none,none,none,2,100,0.70857,0.33322,0.53984,0.53984,0.8418,0.85566
polygas_CH4,pareto,none,none,none,3,100,0.56265,0.41742,0.66132,0.66132,0.80244,0.80386
polygas_CO2,pareto,none,none,none,5,100,0.72123,0.32111,0.52799,0.52799,0.8518,0.88154
polygas_H2,pareto,none,none,none,2,100,0.68056,0.35586,0.56519,0.56519,0.82574,0.8276
polymer_density,pareto,none,none,none,1,100,0.4335,0.44972,0.75266,0.75266,0.67321,0.78526
polygas_CH4,pareto,none,none,none,1,100,0.65882,0.36708,0.5841,0.5841,0.8147,0.82031
polygas_N2,pareto,none,none,none,3,100,0.61926,0.4011,0.61704,0.61704,0.80456,0.80228
polygas_H2,pareto,none,none,none,4,100,0.72505,0.31897,0.52436,0.52436,0.85394,0.86965
bace,pareto,none,none,none,0,100,0.38528,0.6044,0.78404,0.78404,0.65339,0.61616
polymer_density,pareto,none,none,none,4,100,0.55418,0.40646,0.6677,0.6677,0.75,0.81396
polygas_CO2,pareto,none,none,none,8,100,0.65423,0.36527,0.58803,0.58803,0.80978,0.82914
polymer_density,pareto,none,none,none,2,100,0.55604,0.43571,0.66631,0.66631,0.74859,0.77073
polygas_H2,pareto,none,none,none,8,100,0.67865,0.37163,0.56688,0.56688,0.82855,0.84853
polygas_O2,pareto,none,none,none,4,100,0.72342,0.31753,0.52591,0.52591,0.85162,0.86556
polygas_CO2,pareto,none,none,none,6,100,0.67378,0.35911,0.57116,0.57116,0.83156,0.83283
bace,pareto,none,none,none,2,100,0.5554,0.50854,0.66678,0.66678,0.74649,0.70554
lipo,pareto,none,none,none,3,100,0.11667,0.74719,0.93985,0.93985,0.41692,0.38241
polymer_density,pareto,none,none,none,8,100,0.45471,0.43424,0.73844,0.73844,0.68324,0.79048
