smiles,log10_H2_Bayesian
*CC(*)O,0.9947275654615384
*CC(*)OC,1.438216742
*CC(*)OC(=O)C1CCCCC1,1.217530271
*CC(*)OC(=O)c1ccc(C(C)C)cc1,1.563476048
*CC(*)OC(=O)c1ccc(C)cc1,1.145851182
*CC(*)OC(=O)c1ccccc1,1.123857194
*CC(*)OC(C)=O,0.78856033675
*CC(*)OC1C2CC3CC(C2)CC1C3,1.590544289
*CC(*)OC1CC2CCC1C2,1.3502912415
*CC(*)OC1CCCCC1,1.417387078
*CC(*)OCC,-0.031517051
*CC(*)OCC1CC2CC1C1CCCC21,0.925164591
*CC(*)OCC1CCCCC1,1.10320589
*CC(*)OCc1ccccc1,1.217856082
*CC(*)[Si](C)(C)C,2.30305607225
*CC(*)c1ccccc1,1.2413324895882354
*CC(=O)Nc1ccc(Cc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.106649287
*CC(=O)Nc1ccc(NC(=O)c2ccc3c(c2)C(=O)N(*)C3=O)cc1,0.183151774
*CC(=O)Nc1ccc(Oc2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.506864523
*CC(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)cc2)cc1,0.677493297
*CC(=O)Nc1ccc(Oc2cccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(*)C5=O)cc3)c2)cc1,0.469236368
*CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2)cc1,0.505867885
*CC(C)(COC(=O)NCCCCCCNC(=O)O*)CN(C)C,0.107662193
*CC(C)(COC(=O)Nc1ccc(Cc2ccc(NC(=O)O*)cc2)cc1)CN(C)C,0.120723691
*CC(C)O*,1.160855143375
*CC(CCl)O*,0.949390007
*CC(CO*)(CS(C)(=O)=O)CS(C)(=O)=O,-0.493266995
*CC(COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl)OC(C)=O,0.229739671
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CC,0.518392367
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)CCl,-0.11604546
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.357535064
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1Cl,-0.073844208
*CC(COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1)OC(C)=O,0.469457828
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(=O)c1ccccc1,0.212258325
*CC(COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1)OC(C)=O,0.292209884
*CC(COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1)OC(C)=O,0.469457828
*CC(COc1ccc(O*)cc1)OC(C)=O,-0.467473173
*CC(COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1)OC(C)=O,-0.284446127
*CC(CS(=O)(=O)C(C)C)O*,0.303062217
*CC(CS(=O)(=O)CC)O*,-0.633073452
*CC(CS(=O)(=O)CCC)O*,0.520238569
*CC(CS(=O)(=O)CCCC)O*,0.734441489
*CC(CS(=O)(=O)CCCCC)O*,0.751922835
*CC(CS(C)(=O)=O)O*,-1.291722603
*CC(O)COc1c(Cl)cc(C(C)(C)c2cc(Cl)c(O*)c(Cl)c2)cc1Cl,-0.37008541
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)c(Cl)c2)cc1Cl,-0.475016536
*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,-0.275983048
*CC(O)COc1ccc(C(C)(CC)c2ccc(O*)cc2)cc1,-0.127420908
*CC(O)COc1ccc(C(C)(c2ccccc2)c2ccc(O*)cc2)cc1,-0.11604546
*CC(O)COc1ccc(C2CC(C(C)C)CCC2(C)c2ccc(O*)cc2)cc1,0.67369204
*CC(O)COc1ccc(C2CCCC(CC)(c3ccc(O*)cc3)C2)cc1,0.109182838
*CC(O)COc1ccc(Cc2ccc(O*)cc2)cc1,-0.364397686
*CC(O)COc1ccc(O*)cc1,-1.120829812
*CC(O)COc1ccc(S(=O)(=O)c2ccc(O*)cc2)cc1,-0.6184376359999999
*CC/C=C(/*)C,2.190075859125
*CC1CC(*)OC(C)O1,0.349384461
*CC1CC(*)OC(CCC)O1,0.8929872836666667
*CC1CC(*)OCO1,-0.007661113
*CC1CC(C*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,2.662757832
*CC1CCC(COC(=O)c2ccc(C(=O)O*)cc2)CC1,0.45382871
*CCC1CC(=O)N(*)C1=O,2.093564071
*CCC=C(*)Cl,1.32718094
*CCCCCC(=O)N*,-0.8161939243333334
*CCCCCC(=O)O*,1.3368772635
*CCCCCCCC(=O)N*,-1.514420523
*CCCCCCCCCCCC(=O)N*,-1.267622325
*CCCCCCCCCCOC(=O)O*,1.366258627
*CCCCCNC(=O)CCCCC(=O)N*,-0.255640416
*CCCCOC(=O)c1ccc(C(=O)O*)cc1,0.176141943
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)O*,-0.594537712
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.941089186
*CCCS(=O)(=O)CCCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-1.032893348
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1cccc(C(=O)O*)c1,-0.915157986
*CCCS(=O)(=O)CCCS(=O)(=O)CCCOC(=O)c1ccccc1C(=O)O*,-0.99954326
*CCC[Si](*)(C)C,1.556580573
*CCC[Si](C)(C)O[Si](C)(C)CCCN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(*)C4=O)cc2C1=O,0.990063161
*CCOC(=O)c1ccc(C(=O)O*)cc1,0.2235602015483871
