,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
264,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,47.4408073425293
265,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,7.637733459472656
266,50.0,0.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,-2.688626766204834
267,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,-5.270204544067383
268,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,-6.97071647644043
269,50.0,0.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,-8.229864120483398
270,50.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,-9.27963638305664
271,50.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,-10.227106094360352
272,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,-5.272707462310791
273,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,-5.145201206207275
274,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,-5.994198799133301
275,50.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,-7.353244781494141
276,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,-8.606840133666992
277,50.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,-9.34329319000244
278,50.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,-10.055256843566896
279,50.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,-10.57016372680664
280,50.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,-10.824728965759276
281,50.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,74.35563659667969
282,50.0,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,83.53052520751953
